Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-519b-3p,3.919959361330364e-08,2.009920399192111,34.27838734909968,"['RB1', 'CCDC71L', 'ZFYVE9', 'TRAF3IP1', 'UBXN2A', 'ARID4B', 'LAPTM4A', 'RPS6KA5', 'SESN3', 'CFL2', 'ENPP5', 'SLC25A44', 'RAG1', 'ARL10', 'EPHA4', 'IPMK', 'FRS2', 'DICER1', 'EMSY', 'NRBP1', 'CLIP4', 'NBL1', 'RAB5B', 'SLAIN2', 'ZBTB5', 'DNAJC28', 'APH1A', 'TMEM127', 'MAP7', 'ATP6V1C1', 'ZBTB18', 'PRNP', 'ICMT', 'POU2F1', 'FANCM', 'SEC16A', 'KLHL21', 'IFNLR1', 'ZNF35', 'BRI3BP', 'IGF2R', 'CHERP', 'CNOT4', 'DLG5', 'REEP3', 'WNK3', 'CAPRIN2', 'ZNF417', 'CREBRF', 'NDUFAF3', 'NABP1', 'FGFR1OP', 'LRCH3', 'ZNF652', 'BTG1', 'ANKRD33B', 'USP32', 'HMGB3', 'ELAVL2', 'NHSL2', 'PPP6R3', 'PSD3', 'UBTF', 'CASP2', 'CNOT6L', 'ATMIN', 'NIPA1', 'EPS15L1', 'HADHB', 'CSDE1', 'IRF2', 'RBM20', 'PRKAA1', 'RABGAP1', 'SGMS1', 'ZDHHC20', 'SATB2', 'NR2C2', 'MFF', 'HSPA13', 'UBN2', 'FCHO2', 'DNAJB9', 'PAK2', 'LDLR', 'GPR157', 'MAP3K2', 'EGLN3', 'TMEM30A', 'FEM1B', 'LIMK1', 'RPRD2', 'BLCAP', 'DCBLD2', 'NIN', 'KBTBD6', 'TAOK1', 'RLIM', 'PTPN9', 'TRIM37', 'PTPN4']",5.443337401429291e-05,0,0,101
2,hsa-miR-519c-3p,3.9795061358481896e-08,2.001306623301922,34.10131027548141,"['RB1', 'CCDC71L', 'ZFYVE9', 'UBXN2A', 'ARID4B', 'LAPTM4A', 'RPS6KA5', 'SESN3', 'CFL2', 'ENPP5', 'SLC25A44', 'RAG1', 'ARL10', 'EPHA4', 'IPMK', 'FRS2', 'DICER1', 'EMSY', 'NRBP1', 'CLIP4', 'NBL1', 'RAB5B', 'SLAIN2', 'ZBTB5', 'DNAJC28', 'APH1A', 'TMEM127', 'MAP7', 'ATP6V1C1', 'ZBTB18', 'PRNP', 'ICMT', 'POU2F1', 'FANCM', 'SEC16A', 'KLHL21', 'IFNLR1', 'ZNF35', 'BRI3BP', 'IGF2R', 'CHERP', 'CNOT4', 'DLG5', 'REEP3', 'WNK3', 'CAPRIN2', 'ZNF417', 'CREBRF', 'NDUFAF3', 'NABP1', 'FGFR1OP', 'LRCH3', 'ZNF652', 'BTG1', 'ANKRD33B', 'USP32', 'HMGB3', 'ELAVL2', 'NHSL2', 'PPP6R3', 'PSD3', 'TIMP2', 'UBTF', 'CASP2', 'CNOT6L', 'ATMIN', 'NIPA1', 'EPS15L1', 'HADHB', 'CSDE1', 'IRF2', 'RBM20', 'PPARA', 'PRKAA1', 'RABGAP1', 'SGMS1', 'ZDHHC20', 'SATB2', 'NR2C2', 'MFF', 'HSPA13', 'UBN2', 'FCHO2', 'DNAJB9', 'PAK2', 'LDLR', 'GPR157', 'MAP3K2', 'EGLN3', 'TMEM30A', 'FEM1B', 'LIMK1', 'RPRD2', 'BLCAP', 'DCBLD2', 'NIN', 'KBTBD6', 'TAOK1', 'RLIM', 'PTPN9', 'TRIM37', 'PTPN4']",5.443337401429291e-05,0,0,102
3,hsa-miR-519a-3p,5.629630397766511e-08,1.9905088456916258,33.22684151219871,"['RB1', 'CCDC71L', 'ZFYVE9', 'TRAF3IP1', 'UBXN2A', 'ARID4B', 'LAPTM4A', 'RPS6KA5', 'SESN3', 'CFL2', 'ENPP5', 'SLC25A44', 'RAG1', 'ARL10', 'EPHA4', 'IPMK', 'FRS2', 'DICER1', 'EMSY', 'NRBP1', 'CLIP4', 'NBL1', 'RAB5B', 'SLAIN2', 'ZBTB5', 'DNAJC28', 'APH1A', 'TMEM127', 'MAP7', 'ATP6V1C1', 'ZBTB18', 'PRNP', 'ICMT', 'POU2F1', 'FANCM', 'SEC16A', 'KLHL21', 'IFNLR1', 'ZNF35', 'BRI3BP', 'IGF2R', 'CHERP', 'CNOT4', 'DLG5', 'REEP3', 'WNK3', 'CAPRIN2', 'ZNF417', 'CREBRF', 'NDUFAF3', 'NABP1', 'FGFR1OP', 'LRCH3', 'ZNF652', 'BTG1', 'ANKRD33B', 'USP32', 'HMGB3', 'ELAVL2', 'NHSL2', 'PPP6R3', 'PSD3', 'UBTF', 'CASP2', 'CNOT6L', 'ATMIN', 'NIPA1', 'EPS15L1', 'HADHB', 'CSDE1', 'IRF2', 'RBM20', 'PRKAA1', 'RABGAP1', 'SGMS1', 'ZDHHC20', 'SATB2', 'NR2C2', 'MFF', 'HSPA13', 'UBN2', 'FCHO2', 'DNAJB9', 'PAK2', 'LDLR', 'GPR157', 'MAP3K2', 'EGLN3', 'TMEM30A', 'FEM1B', 'LIMK1', 'RPRD2', 'BLCAP', 'DCBLD2', 'NIN', 'KBTBD6', 'TAOK1', 'RLIM', 'PTPN9', 'TRIM37', 'PTPN4']",5.443337401429291e-05,0,0,101
4,hsa-miR-218-5p,6.810556648644719e-08,1.594935989242257,26.319963666384307,"['TFRC', 'ARL6IP1', 'GDE1', 'DNHD1', 'PPP2R2A', 'GHITM', 'THUMPD1', 'NUDT5', 'DCAF5', 'ACTB', 'HS6ST2', 'GOLGA3', 'RPS6KA3', 'ZFYVE26', 'ZNF609', 'ANKFY1', 'PIP4K2A', 'PIP4K2B', 'ATXN7L1', 'PTGFRN', 'SCAPER', 'FNBP4', 'NUP214', 'MBNL2', 'RC3H1', 'DNTTIP2', 'DICER1', 'ANK3', 'RUNX2', 'PRKAR1B', 'PSME4', 'SIK2', 'POM121', 'TTYH3', 'MYCBP2', 'SDC3', 'SLAIN2', 'CDKN2AIP', 'GSPT1', 'ADH5', 'SNX4', 'HLCS', 'TNRC18', 'PHC2', 'ICMT', 'SNAPIN', 'BCL11B', 'PPP1R21', 'NFATC3', 'PUM2', 'EXT1', 'NPLOC4', 'ZFAT', 'ATM', 'AVL9', 'FBXL4', 'XKR6', 'BAP1', 'ATR', 'SH3KBP1', 'BMI1', 'PTPRG', 'ZCCHC14', 'ROBO1', 'IKBKB', 'UCHL1', 'TCP11L2', 'SDF4', 'MRPS2', 'ELOVL6', 'GAB2', 'TERF2', 'MRPL43', 'SERPINB6', 'VAV2', 'PACS1', 'KCNMA1', 'RARA', 'SATB2', 'FAM214A', 'GNAI2', 'TRAK2', 'FAM172A', 'MTHFD1L', 'CUX1', 'NSD1', 'UBN2', 'SUSD4', 'MFN2', 'FLNB', 'GPBP1L1', 'PAK2', 'GPR157', 'GIT2', 'PLEKHA5', 'TMEM64', 'BLCAP', 'DCBLD2', 'SULF2', 'HIPK2', 'RSL1D1', 'NR6A1', 'ALMS1', 'HDGF', 'LGR4', 'OXNAD1', 'FAM13B', 'GALNT18', 'PPP1CC', 'MAP3K9', 'RARS2', 'NSF', 'HFM1', 'FRMD4A', 'LARP4B', 'ATP1B1', 'FOXP1', 'DMTF1', 'PKP4', 'DENND6A', 'PPIA', 'STAM2', 'SRSF9', 'KMT2A', 'ABHD2', 'GLIS3', 'CLEC16A', 'ARHGAP17', 'PRPF8', 'CORO1C', 'DEAF1', 'ABL1', 'CAMTA1', 'PDZD8', 'AUTS2', 'SEC16A', 'GFPT1', 'HPS4', 'KLHL21', 'IGF2R', 'ZZEF1', 'SSH1', 'FAM217B', 'COPS3', 'DLG1', 'CDK6', 'EIF2S3', 'STK24', 'REEP5', 'COPS2', 'SP3', 'GNAS', 'SPIRE1', 'SERINC3', 'ZNF652', 'NFE2L1', 'PHF19', 'EIF4G1', 'DOCK9', 'CHD8', 'PIK3C2B', 'TMEM222', 'TRPS1', 'PSD3', 'LRRFIP1', 'RBM5', 'DIS3L2', 'KDM6A', 'RBM6', 'ATP6AP1', 'DDX58', 'BUD31', 'RBM18', 'H2AFX', 'ARNT', 'NAV1', 'KSR2', 'EEF1G', 'PTP4A2', 'PKM', 'SETBP1', 'SPOPL', 'TMBIM6', 'GAPDH', 'SFSWAP', 'ASAP2', 'HDAC8', 'IWS1', 'VPS51', 'POLR2A', 'PUF60', 'GMDS', 'LRIG1', 'CNNM2', 'UGGT2', 'SPAG9', 'SEC24A', 'USP22', 'MEIS2', 'MYO1D', 'IMPDH2', 'ACIN1', 'QRICH1', 'NAA15']",5.443337401429291e-05,0,0,204
5,mmu-miR-301b-3p,3.082640153566473e-07,1.8554919241452625,27.818108697652068,"['RB1', 'ARL6IP1', 'ZFAND4', 'CBLB', 'SOGA3', 'ENO2', 'ANTXR1', 'CLU', 'SCAMP5', 'NUDT11', 'LAMP1', 'FGFR1OP2', 'EPC2', 'KIF21A', 'SCAPER', 'ENPP5', 'ACVR1', 'KDM2A', 'USP3', 'ADAM10', 'MUL1', 'FRMD4A', 'ADAM19', 'ALDH3A2', 'XRN1', 'STIM2', 'HECW2', 'PSME4', 'TTYH3', 'ADH5', 'TMEM25', 'LDHB', 'ARHGAP21', 'DPP6', 'RNF216', 'TSPAN9', 'ZMAT3', 'TBC1D12', 'THEM6', 'ASIC2', 'KIAA0319', 'N4BP1', 'PRNP', 'ANKRD26', 'ACBD5', 'SYT1', 'PPP1R21', 'ST8SIA3', 'NFATC3', 'ASPSCR1', 'ARHGAP29', 'STAM', 'HSPA12A', 'LRP1B', 'NF1', 'FAT3', 'TMEM9B', 'ITM2B', 'PHF3', 'WDR47', 'RNF11', 'USP32', 'CLTC', 'SETD7', 'ATP2A2', 'AFF4', 'WDR44', 'ROBO1', 'PIK3C2B', 'NHSL2', 'AUH', 'PEA15', 'PPP6R3', 'PSD3', 'TIMP2', 'POLK', 'TNPO1', 'RALGPS1', 'TGFBR1', 'PATL1', 'CTTNBP2NL', 'ZEB2', 'NDUFS4', 'PIGK', 'CHST1', 'HLF', 'SEMA3C', 'ZDHHC20', 'KCNA1', 'HDAC8', 'PAPSS2', 'PPP2CA', 'NSD3', 'FSTL5', 'FCHO2', 'SLC17A7', 'FYN', 'LDLR', 'C1GALT1', 'NAP1L3', 'SEMA4G', 'DCBLD2', 'STXBP5L', 'RAB11B', 'TEF', 'TAOK1', 'SIMC1', 'ESYT2']",0.00019710401141904028,0,0,108
6,mmu-miR-7b-5p,4.901855971761293e-07,1.7708190562189094,25.727312336950007,"['VEZT', 'MTFMT', 'CCNT2', 'ZFAND4', 'FAIM2', 'ANTXR1', 'SCAMP5', 'GOLGA4', 'PTGFRN', 'SLC12A6', 'KCNH1', 'RBFOX2', 'KDM2A', 'STARD7', 'AFAP1', 'ADAM10', 'ATP1B3', 'FBXO10', 'SCAMP3', 'CLIP3', 'CACNB4', 'MAP7D1', 'MYADM', 'ANKRD40', 'RAB5B', 'TTYH3', 'KMT2A', 'SDC3', 'AGAP1', 'UBR2', 'TSPAN9', 'PDGFD', 'ZNF704', 'NEU1', 'TRPM7', 'RAB6B', 'SCN3A', 'ARSB', 'CD164', 'CBX5', 'ARPP21', 'SETDB1', 'BCL11B', 'SYT1', 'ST8SIA3', 'MICAL3', 'ASPSCR1', 'MARCH9', 'UPF3A', 'DCLK1', 'PTPRD', 'AAK1', 'SRPRA', 'SPIRE1', 'FGFR1OP', 'FAT3', 'TTC26', 'TENM4', 'SETD7', 'ARRB1', 'DOC2B', 'TNFAIP1', 'SMG6', 'PPP1R9B', 'ENC1', 'PHF24', 'IDS', 'PHACTR1', 'KIF1B', 'ZYG11B', 'NAA30', 'NCOA5', 'NUP133', 'DNMT3A', 'NAV2', 'GNL1', 'PGM2L1', 'PATL1', 'MLF2', 'PHF20L1', 'SLC22A23', 'TMEFF1', 'TMEM33', 'RASA2', 'TERF2IP', 'TMEM9', 'AMER2', 'KCNA1', 'ATP1A3', 'ACVR1B', 'HDAC7', 'TRAK2', 'ZNRF2', 'FAM168B', 'FAM168A', 'SV2B', 'NSD1', 'MXI1', 'NCDN', 'DCAF10', 'EXTL3', 'MPZL1', 'SPAG9', 'ATF7IP', 'NTRK2', 'RNF24', 'NEGR1', 'USP22', 'FOXJ2', 'TMEM64', 'SEMA4G', 'MYO9A', 'WARS2', 'NIN', 'CLCN4', 'ABHD17B', 'FAM131B', 'TRIP12', 'KRAS', 'TNRC6B']",0.00023367079489079162,0,0,120
7,mmu-miR-340-5p,5.116345211872197e-07,1.6519626646208925,23.929761715956552,"['OTUD4', 'VEZT', 'CCNT2', 'ARID4B', 'CDC14B', 'ARFIP1', 'MAP3K7', 'RNF111', 'JMJD4', 'TMEM178B', 'LIMCH1', 'IGFBP3', 'RALGAPA2', 'CSGALNACT2', 'IPMK', 'COG3', 'MCCC1', 'ADAM10', 'UBALD2', 'UBE4B', 'TBC1D2B', 'ANK3', 'RPGRIP1L', 'POU3F3', 'CD2AP', 'MORF4L1', 'ACAP2', 'OLFM3', 'CCNY', 'ADGRB3', 'KAT6A', 'DENND6A', 'MYCBP2', 'SDC3', 'AGAP1', 'LIN7C', 'PRDX3', 'MBTD1', 'ATXN7', 'TMEM248', 'MAN2A1', 'CAMTA1', 'SNX9', 'ZNF664', 'QSER1', 'TXNDC5', 'MCL1', 'PRNP', 'CADM3', 'DR1', 'ICMT', 'AUTS2', 'CADM2', 'NFATC3', 'LARP4', 'SMAD5', 'PRRC2B', 'PUM2', 'LIN28B', 'TBL2', 'PAN3', 'DLG2', 'ARL2BP', 'STK24', 'PHF14', 'STRN', 'FBXL3', 'SERINC3', 'ZNF532', 'PHF3', 'SLC25A3', 'TENM4', 'DOCK9', 'MAST2', 'CLTC', 'LPCAT1', 'N4BP2L2', 'AFF4', 'GPHN', 'PTPRG', 'ROBO1', 'TMEM47', 'MAP1LC3B', 'MED13', 'TRIM2', 'PPP6R3', 'PSD3', 'ENC1', 'ZNF800', 'IDS', 'YWHAG', 'PCMTD1', 'SMIM15', 'RBM18', 'ATP6AP2', 'ARNT', 'OXSR1', 'TGFBR1', 'MLF2', 'PTP4A2', 'TMEFF2', 'TMEM33', 'MTF2', 'IL1RAPL1', 'NDUFS4', 'CDH12', 'NCBP3', 'ZMYND11', 'PAFAH1B2', 'PCYOX1', 'NAPB', 'PRKAA1', 'NLGN1', 'STAU2', 'PPM1K', 'ACVR1B', 'HDAC9', 'JAKMIP2', 'NSD3', 'FSTL5', 'ZNRF2', 'FAM168B', 'FAM172A', 'TNKS2', 'SV2A', 'SLITRK4', 'FCHO2', 'PAK2', 'SRSF11', 'NKTR', 'PURG', 'SPAG9', 'MAP3K2', 'NTRK2', 'SLC35A1', 'SLC35A4', 'MAP3K1', 'PLEKHA1', 'MGA', 'PDE4DIP', 'PNMA2', 'MYO9A', 'CLCN4', 'ABHD17B', 'KLHL7', 'DLC1', 'ESYT2', 'PDE7B', 'NAA15', 'TARDBP', 'LGR4', 'R3HDM2']",0.00023367079489079162,0,0,152
8,hsa-miR-17-5p,6.356320845376331e-07,1.4521271752866522,20.719888501398906,"['RB1', 'ZNF174', 'ZFYVE9', 'PPP2R2A', 'NOC2L', 'NUDT3', 'CAPN15', 'SCAMP5', 'DCAF1', 'ZFYVE26', 'RPS6KA5', 'PPP2R1A', 'FTH1', 'ANKFY1', 'PIP4K2A', 'RTTN', 'PTGFRN', 'PIP4K2C', 'SAMD12', 'SLC12A6', 'EPHA4', 'ACOT9', 'CPT1A', 'DNTTIP2', 'FRS2', 'YOD1', 'WDR82', 'RUFY2', 'NUP98', 'NBL1', 'TRIM11', 'FUT10', 'MYCBP2', 'MTMR9', 'SLAIN2', 'ZBTB5', 'EPB41L5', 'PCNX2', 'FXR2', 'RNF216', 'RAD21', 'VTI1A', 'SYNDIG1', 'MAP7', 'N4BP1', 'ICMT', 'CADM2', 'TNFSF12', 'SURF4', 'RMDN1', 'ZNF35', 'FHDC1', 'BRI3BP', 'GPR137B', 'NR2F6', 'CCT6A', 'CYLD', 'ZBTB6', 'WNK3', 'TMEM9B', 'N4BP2L2', 'PHF6', 'SIPA1L3', 'MED17', 'MED13', 'AKAP11', 'RFK', 'PEA15', 'TNFAIP8L1', 'ZNF800', 'KIF1A', 'PCMTD1', 'JAK1', 'CNOT6L', 'KCND3', 'PGAM1', 'NCOA3', 'NIPA1', 'RRAS2', 'EPS15L1', 'MANEAL', 'RGMB', 'KIF6', 'PGM2L1', 'MLF2', 'SLC22A23', 'CSDE1', 'KCNMA1', 'CNKSR3', 'CANX', 'TET3', 'ARHGEF7', 'PHLPP1', 'SGMS1', 'ZDHHC20', 'HTT', 'TMEM165', 'NSD2', 'TCEAL1', 'CLPTM1', 'MFN2', 'PAK6', 'SUSD6', 'LDLR', 'GPR157', 'MAP3K2', 'MAP3K3', 'EGLN3', 'TPK1', 'TRAPPC10', 'GBF1', 'RPA2', 'TMEM64', 'TUBB4B', 'DCBLD2', 'ARCN1', 'AGMAT', 'HIST3H2A', 'GPAM', 'STAC2', 'CAPZA2', 'RLIM', 'OTUD4', 'ANKRD13C', 'CCDC71L', 'CRTC3', 'UBE3C', 'TMEM167A', 'UBXN2A', 'ARID4B', 'TMEM131L', 'CLU', 'LAPTM4A', 'SESN3', 'CFL2', 'SIRPA', 'MAP3K9', 'SLC25A44', 'ENPP5', 'PLS1', 'SH3GLB2', 'USP3', 'IGFBP3', 'ATP1B3', 'FBXO10', 'EMSY', 'NRBP1', 'BSCL2', 'MORF4L1', 'ACAP2', 'ILF3', 'ZNF93', 'MSH3', 'CLIP4', 'RTN3', 'RAB5B', 'TMED10', 'KMT2A', 'ABHD2', 'GLO1', 'UBFD1', 'PRPF8', 'DNAJC28', 'ATXN7', 'TMEM127', 'ZMAT3', 'UBR5', 'ISOC1', 'CCDC30', 'THEM4', 'CAMTA1', 'MCL1', 'ZBTB18', 'PRNP', 'ACBD5', 'CBX5', 'SMURF1', 'SEC16A', 'NONO', 'ASNS', 'ABHD18', 'HOOK3', 'SSH2', 'SMAD5', 'CNOT4', 'COPS3', 'CNOT7', 'DNMBP', 'REEP5', 'PUDP', 'REEP3', 'ZNF417', 'CAPRIN2', 'AAK1', 'GNAS', 'PLEKHM1', 'FGFR1OP', 'NABP1', 'DEGS1', 'LSM14A', 'ZNF532', 'ZNF652', 'LRP12', 'ZNF770', 'SLC25A3', 'ANKRD33B', 'USP38', 'USP32', 'CCDC47', 'AMD1', 'HMGB3', 'TNFAIP1', 'ELAVL2', 'AP1G1', 'PPP6R3', 'PSD3', 'CASP2', 'POLK', 'RBM5', 'SMIM13', 'HSP90AA1', 'USP48', 'SMIM15', 'PDPK1', 'AKTIP', 'ARHGEF18', 'RBM20', 'SPOPL', 'TMBIM6', 'TMEM9', 'PPP1R12B', 'NAT8L', 'GAPDH', 'C2ORF69', 'ACVR1B', 'NR2C2', 'TNKS2', 'CHSY1', 'ZNF507', 'DNAJB4', 'FCHO2', 'MXI1', 'DNAJB9', 'FEM1A', 'FEM1B', 'FOXJ3', 'LIMK1', 'FOXJ2', 'KIAA0232', 'ATP2B1', 'DDHD1', 'RPRD2', 'MAPK14', 'SOD2', 'USP28', 'PNRC1', 'MYO1D', 'NIN', 'KANSL1', 'RUNDC1', 'POLR3G', 'TRIM37', 'PTPN4', 'LPIN1', 'TNRC6A', 'TNRC6B']",0.00025401447178335164,0,0,266
9,hsa-miR-27a-3p,1.8046273810388383e-06,1.7574701629061764,23.24281781598051,"['ITSN2', 'OTUD4', 'FAM49B', 'ZNF175', 'TLNRD1', 'CCNT2', 'ARL6IP1', 'TMEM167A', 'ATN1', 'CAPN15', 'CDH6', 'NPEPPS', 'RPS6KA5', 'PEG10', 'KHSRP', 'LAMP2', 'VPS35', 'SLC25A44', 'RGS6', 'TRIM23', 'PDHX', 'SEMA6A', 'LIFR', 'FNDC3A', 'FOXP4', 'NRBP1', 'PDIA5', 'CD2AP', 'GPATCH11', 'PSPC1', 'GRWD1', 'ANKRD40', 'FIZ1', 'KMT2A', 'KMT2C', 'MBTD1', 'NLN', 'UBR5', 'PSAP', 'ZNF148', 'LONRF1', 'TXNDC5', 'ZBTB18', 'SMAD2', 'KLHDC3', 'PHC2', 'AKIRIN1', 'SEC16A', 'LRRC61', 'SMAD5', 'FAM217B', 'APPBP2', 'SP3', 'NF1', 'AMOTL2', 'FARSA', 'RETREG2', 'C2CD2L', 'EZH2', 'NFE2L2', 'THRB', 'CAB39L', 'SETD7', 'LPCAT1', 'BMI1', 'AFF4', 'RPTOR', 'GYS1', 'MED13', 'AP1G1', 'ZNF800', 'TNPO1', 'LBR', 'NUP133', 'TOMM40L', 'PGM2L1', 'TGFBR1', 'ARL4C', 'ZNF638', 'DPYD', 'RARA', 'TERF2IP', 'TMBIM6', 'RABGAP1', 'SGMS1', 'ARNTL', 'RMND5A', 'NSD1', 'APBB2', 'LDLR', 'PAK2', 'SEC24A', 'TMEM30A', 'FEM1B', 'FOXJ3', 'AP3D1', 'MAPK14', 'MYO9A', 'HIPK2', 'NUDT21', 'PINK1', 'RYBP', 'MYO1C', 'DPY19L3', 'GPAM', 'TAOK1', 'KRAS', 'TARDBP', 'LPIN1', 'FRYL']",0.0006410437485756852,0,0,110
10,mmu-miR-17-5p,2.743613821046864e-06,1.7369493043504471,22.243780269006006,"['RB1', 'OTUD4', 'FAM49B', 'ZFAND4', 'UBXN2A', 'ROGDI', 'CASC4', 'CELSR2', 'YY1', 'ALKBH5', 'SCP2', 'RASSF4', 'PAPOLG', 'FGFR1OP2', 'CAPN2', 'EP300', 'DIP2A', 'KIF21A', 'KDM2A', 'LIMCH1', 'USP3', 'TOMM34', 'ADAM10', 'ADAM19', 'MORF4L1', 'ACAP2', 'XRN1', 'WDR82', 'SELENOP', 'KDELR2', 'ZFPM2', 'KPNB1', 'PIK3R4', 'CEND1', 'C2CD4C', 'LPP', 'EPB41L5', 'SPAST', 'TSPAN9', 'ZMAT3', 'ZNF704', 'PLXNA2', 'CAMTA1', 'STXBP5', 'TBC1D12', 'QSER1', 'MCL1', 'ANKRD29', 'CD164', 'SYT1', 'CADM2', 'PPP1R21', 'ST8SIA3', 'ASPSCR1', 'MARCH9', 'DHCR24', 'MARCH8', 'SMAD5', 'ANKHD1', 'CYLD', 'ALDH6A1', 'AGO4', 'NF1', 'CREBRF', 'ZNF652', 'NFE2L2', 'TENM4', 'N4BP2L2', 'AFF4', 'MED17', 'PTPRG', 'EEF2K', 'TRIM2', 'TIMP2', 'UBTF', 'POLK', 'CNOT6L', 'DNMT3A', 'ELOVL6', 'PTP4A2', 'ZEB2', 'LMBRD1', 'RASA1', 'NAPB', 'PHLPP1', 'SEMA3C', 'RAP1GDS1', 'HDAC8', 'ACVR1B', 'NSD3', 'SH3BGRL', 'FAM120C', 'FCHO2', 'TCEAL1', 'SLC17A7', 'FLNB', 'EXTL3', 'CYTH1', 'SPAG9', 'GABRA1', 'MGA', 'AP3D1', 'TMEM64', 'MAPK14', 'DCBLD2', 'TAOK1', 'TRIP12', 'KRAS', 'KBTBD8', 'TNRC6B']",0.0008771333385886825,0,0,110
